"filename", "language", "C++", "Markdown", "YAML", "Docker", "Batch", "Shell Script", "Python", "HTML", "CMake", "JavaScript", "Java", "comment", "blank", "total"
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_heating_system_submodule\config\heat_config.yaml", "YAML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 5
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_heating_system_submodule\dependencies\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_heating_system_submodule\dependencies\git_submodule_depA\class.cpp", "C++", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 64
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_heating_system_submodule\dependencies\git_submodule_depA\class.h", "C++", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 2, 55
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_heating_system_submodule\docs\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_heating_system_submodule\docs\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_heating_system_submodule\includes\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_heating_system_submodule\includes\hardware_feedback.h", "C++", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 8, 45
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_heating_system_submodule\includes\heating_controller.h", "C++", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 74
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_heating_system_submodule\includes\subsystem_feedback.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 9, 41
